空中延时测试：信号源10Hz方波,,,,,,,,,
序号,接收时间戳Tror,信号触发时间戳Ttor,空中延时,,Tror间隔,Ttor间隔,,,
310,250997474,250925061,72413,,400063,400000,,,
311,251397436,251325061,72375,,399962,400000,,,
312,251797432,251725060,72372,,399996,399999,,,
313,252197427,252125060,72367,,399995,400000,,,
314,252597423,252525060,72363,,399996,400000,,,
315,252997419,252925059,72360,,399996,399999,,,
316,253397414,253325059,72355,,399995,400000,,,
317,253797478,253725059,72419,,400064,400000,,,
318,254197440,254125058,72382,,399962,399999,,,
319,254597435,254525058,72377,,399995,400000,,,
320,254997431,254925058,72373,,399996,400000,,,
321,255397427,255325057,72370,,399996,399999,,,
322,255797422,255725057,72365,,399995,400000,,,
323,256197418,256125057,72361,,399996,400000,,,
324,256597414,256525056,72358,,399996,399999,,,
325,256997409,256925056,72353,,399995,400000,,,
326,257397405,257325056,72349,,399996,400000,,,
327,257797401,257725055,72346,,399996,399999,,,
328,258197396,258125055,72341,,399995,400000,,,
329,258597460,258525055,72405,,400064,400000,,,
330,258997456,258925054,72402,,399996,399999,,,
331,259397417,259325054,72363,,399961,400000,,,
332,259797413,259725054,72359,,399996,400000,,,
333,260197409,260125053,72356,,399996,399999,,,
334,260597404,260525053,72351,,399995,400000,,,
335,260997468,260925053,72415,,400064,400000,,,
336,261397430,261325052,72378,,399962,399999,,,
337,261797425,261725052,72373,,399995,400000,,,
338,262197421,262125052,72369,,399996,400000,,,
339,262597417,262525051,72366,,399996,399999,,,
340,262997412,262925051,72361,,399995,400000,,,
341,263397408,263325050,72358,,399996,399999,,,
342,263797404,263725050,72354,,399996,400000,,,
343,264197399,264125050,72349,,399995,400000,,,
344,264597463,264525049,72414,,400064,399999,,,
345,264997425,264925049,72376,,399962,400000,,,
346,265397420,265325049,72371,,399995,400000,,,
347,265797416,265725048,72368,,399996,399999,,,
348,266197412,266125048,72364,,399996,400000,,,
349,266597407,266525048,72359,,399995,400000,,,
350,266997403,266925047,72356,,399996,399999,,,
351,267397399,267325047,72352,,399996,400000,,,
352,267797462,267725047,72415,,400063,400000,,,
353,268197424,268125046,72378,,399962,399999,,,
354,268597420,268525046,72374,,399996,400000,,,
355,268997415,268925046,72369,,399995,400000,,,
356,269397411,269325045,72366,,399996,399999,,,
357,269797407,269725045,72362,,399996,400000,,,
358,270197402,270125045,72357,,399995,400000,,,
359,270597398,270525044,72354,,399996,399999,,,
360,270997394,270925044,72350,,399996,400000,,,
361,271397457,271325044,72413,,400063,400000,,,
362,271797419,271725043,72376,,399962,399999,,,
363,272197415,272125043,72372,,399996,400000,,,
364,272597410,272525043,72367,,399995,400000,,,
